text;definition;example;frequency;category
﻿a bit of fluff;A sexually attractive woman.;I saw him yesterday with a bit of fluff.;0;sexuality
a breath of fresh air;Said about a new and imaginative approach, a change that feels good.;The president says that the country needs a breath of fresh air.;0;nature
a clean bill of health;Said when you examine someone or something and state that they are healthy, in good condition, or legal.;The president was given a clean bill of health by his doctors.;0;health
a dime's worth;An insignificant amount;At best, he'll make a dime's worth of difference with his interference in the affair.;0;money
a fact of life;This idiom is used to refer to something which is unpleasant and which people accept because they cannot change it.;Violence has become a fact of life among teenagers these days.;0;life
a fool and his money are soon parted;this means that stupid people spend money without thinking about it enough.;John likes his extravagant lifestyle - but then a fool and his money are soon parted.;0;money
a life-saver;This phrase is used to refer to something or someone that saves a person in a difficult situation or critical moment.;Thank you so much for your help. You're a real lifesaver!;0;life
a little bird told me;said when you don't want reveal the source of your information.;How did you know the news? Oh, a little bird told me.;0;animals
a lost ball in the weeds;This phrase refers to a person who is completely lost or confused and does not know what they are doing, how to do it or possibly even where they are.;I got confused as to what I should do. I was a lost ball in the weeds.;0;sport
a man of action;a man who is inclined to act first rather than think about things and discuss them.;Bill is really a man of action. Since he arrived at the top of the association, he has done so many things.;0;men and women
a man of few words;Someone who doesn't speak much.;He is a man of few words. But when he speaks, he makes a lot of sense.;0;men and women
a man's man;This phrase refers to someone known for traditionally masculine interests and activities.;Alex is what you would call a man's man.;0;men and women
a new lease of life;This idiom is used to refer to an occasion when something gives you the chance to become happy or healthy and makes you more energetic than before.;His new job has given him a new lease of life.;0;life
a number cruncher;This idiom refers to someone whose job is to work with numbers and mathematics. It may also refer to a computer that is able to solve complicated problems of mathematics.;He's a number cruncher. He works for a big firm of accountants.;0;numbers
a roof over your head;A place to live.;He was so poor that he didn't have a roof over his head.;0;home
a steal;This idiom refers to a good deal.;it's almost like you stole it.;0;crime
a watched pot never boils;This expression is used to mean that things appear to go more slowly if one waits anxiously for it.;There's no point running downstairs for every mail delivery. A watched pot never boils.;0;furniture
a whole new ball game;A completely different situation.;He has written so many short stories but writing a novel is a whole new ball game.;0;sport
a woman of few words;Someone who doesn't speak much.;She is a woman of few words, but she always gets things done.;0;men and women
about as useful as a chocolate teapot;This idiom means that something is totally useless.;A car in a heavy traffic jam is as useful as a chocolate teapot. Use a bike instead!;0;food
above suspicion;This phrase is used to describe a person who is honest enough that no one would suspect.;That guy is a peaceful man, he is above suspicion.;0;law
above the law;Not subject to the law, exept from the laws that apply to everyone else.;Nobody is above the law.;0;law
above the salt;This idiom means they are of high standing or honor.;In medieval times lords used to sit above the salt.;0;food
achilles heel;said about a strong situation which contains an element of vulnerability.;Journalists considered that minister as the government's Achilles heel.;0;parts of the body
aching heart;This phrase is an idiomatic expression that refers to the feeling of pain because of love.;My aching heart is telling me that he doesn't love me.;0;love
acid test;This idiom refers to a decisive test whose findings show the worth or quality of something.;Our team's next match will be the first real acid test in this competition.;0;technology and science
act of God;something that ooccured, such as an accident, for which no human is responsible. A natural disaster such as a storm, earthquake...;The Haiti earthquake was really an act of God.;0;religion
act one's age;To be mature and not childish.;Stop being childish and act your age.;0;age
adam's ale;(old-fashioned) water.;Take a glass of adam's ale if you are thirsty.;0;religion
add fuel to the fire;To make a problem worse, to say or do something that makes a bad situation worse.;Don't add fuel to the fire by laughing at him. He is furious about what you have already done;0;nature
affinity for;said about you have attraction , preference or sympathy for something or someone.;He has an affinty for classical music.;0;relationship
against the clock;This idiom means to do something as fast as possible and try to finish it before a deadline.;The students were racing against the clock to finish the paper before the deadline.;0;time
against time;An attempt to finish something quickly within a time limit.;It's going to be a race against the time to finish the project before the deadline.;0;time
age before beauty;A phrase said to allow older people to go before younger ones. Now most often used humorously or lightheartedly, and usually said by a younger person to an older friend or relative out of mock pity for being so much older and unattractive.;Please, you first. Age before beauty, you know.;0;age
age out of something;This idiom means to reach an age at which one is no longer eligible for the system of care designed to provide services, such as education or protection, for people below a certain age level.;He has aged out of the special student scholarship program.;0;age
ahead of one's time;in advance of concurrent commonly accepted ideas, showing characteristics of changes yet to be, present in one's work before later advances in the field.;With his new scientific discoveries, he was ahead of his time.;0;time
alive and kicking;To continue to be well, healthy or successful.;Don't worry about your grandfather, he is alive and kicking.;0;health
all cats are grey in the dark;This idiom means that in the dark, physical appearance is unimportant.;I really don't care if she is ugly. All cats are gray in the dark.;0;colors
all dressed up and nowhere to go;This idiom means getting ready for something and then it never happened.;She was waiting for him but he never showed up. As usual, she was all dressed up and nowhere to go.;0;clothes
all hat and no cattle;Describing someone who is full of big talk but lacking action, power, or substance, pretentious.;We expect our president to be effective in his job, not a person who is all hat and no cattle.;0;clothes
all in a day's work;What is normal, typical or expected.;Grading my students' papers is all on a day's work for me.;0;work
all one's eggs in one basket;the state of having invested heavily in just one area or of having devoted all of one's resources to one thing.;The stock market decline wouldn't have hurt him so badly if he hadn't had all his eggs in one basket;0;food
all that glitters is not gold;appearance is sometimes misleading. Things that appear valuable or worthwhile might not be as good as they look.;The house looks beautiful from the outside but the inside part of the house looks terrible, all that glitters is not gold.;0;money
all that jazz;Everything else related to something, and other similar things.;They enjoyed the party: cocktails, dancing, and all that jazz.;0;music
all the more;Even more.;Her family didn't want her to get married to her new boyfriend, but that just made her all the more determined.;0;general
all walks of life;Occupations, roles, social class, or lifestyle.;Those who attended the wedding represented all walks of life.;0;life
