text;frequency
a bit of fluff; 28
a breath of fresh air; 1206
a clean bill of health; 16
a dime's worth; 8
a fact of life; 97
a fool and his money are soon parted; 1
a life-saver; 61
a little bird told me; 0
a lost ball in the weeds; 0
a man of action; 69
a man of few words; 38
a man's man; 65
a new lease of life; 8
a number cruncher; 1
a roof over your head; 5
a steal; 565
a watched pot never boils; 0
a whole new ball game; 2
a woman of few words; 0
about as useful as a chocolate teapot; 0
above suspicion; 9
above the law; 100
above the salt; 0
achilles heel; 12
aching heart; 16
acid test; 70
act of God; 84
act one's age; 0
adam's ale; 0
add fuel to the fire; 11
affinity for; 371
against the clock; 96
against time; 234
age before beauty; 0
age out of something; 0
ahead of one's time; 3
alive and kicking; 105
all cats are grey in the dark; 0
all dressed up and nowhere to go; 0
all hat and no cattle; 4
all in a day's work; 15
all one's eggs in one basket; 0
all that glitters is not gold; 3
all that jazz; 48
all the more; 3021
all walks of life; 439
All work and no play makes Jack a dull boy; 0
all's fair in love and war.; 5
along the lines; 1207
always chasing rainbows; 0
an arm and a leg; 75
an eye for an eye; 52
another nail in one's coffin; 0
any minute soon now; 0
any port in a storm; 0
apple of somebody's eye; 0
are your ears burning?; 0
armchair critic; 18
armed to the teeth; 25
arrow in the quiver; 1
art is long and life is short; 0
as bald as a cue ball; 0
as blind as a bat; 3
as gentle as a lamb; 2
as patient as Job; 0
as poor as a church mouse; 0
as ugly as sin; 1
at a loss for words; 89
black and blue; 44
at death's door; 9
at hand; 3027
at sixes and sevens; 0
at the drop of a hat; 139
at the wheel; 102
at your mother's knee; 0
back on one's feet; 0
back the wrong horse; 0
back to the salt mines; 0
backseat driver; 12
bad blood; 48
bad egg; 26
bag of bones; 24
bag of tricks; 113
ball of fire; 13
ball someone or something up; 0
ball-breaker; 2
banana repulic; 0
bank on; 65
baptism of fire; 4
be a barrel of laughs; 0
be a chicken; 3
be a cold fish; 0
be an item; 4
be better than sex; 1
be dead in the water; 2
be dead to the world; 0
be full of beans; 0
be glad to see the back of someone; 0
be in black and white; 1
be in deep water; 0
be in hot water; 4
be in somebody's shoes; 0
be in the land of the living; 0
be like a fish out of water; 0
be new to the game; 0
be no oil painting; 0
be nuts about; 2
be on cloud nine; 0
be on the ball; 5
be part of the furniture; 0
be sick and tired of; 0
be the cat's whiskers; 0
bean counter; 49
bear fruit; 41
bear one's cross; 0
beat a dead horse; 18
beat a retreat; 0
beat around the bush; 81
beat the clock; 19
beat the rap; 2
beats me; 59
beef up; 105
before you can say Jack Robinson; 0
behind bars; 167
behind closed doors; 199
behind one's back; 0
bells and whistles; 352
below the salt; 1
bend the law; 19
Benjamin of the family; 0
bet your bottom dollar; 23
better the devil you know; 2
between life and death; 134
between the devil and the deep blue sea; 0
beyond words; 478
beyond your wildest dreams; 25
Big Apple; 387
big bucks; 286
big cheese; 4
big deal; 1765
big fish in a small pond; 6
big frog in a small pond; 0
big girl's blouse; 0
big head; 100
big mouth; 83
big wheel; 30
bird's-eye view; 29
birthday suit; 10
bite me; 18
bite the dust; 17
bite your lip; 1
bitter pill to swallow; 8
black out; 121
black sheep; 127
black-and-white; 1137
blank canvas; 38
blank cheque; 0
blast from the past; 173
blessing in desguise; 0
blind date; 110
blood is thicker than water; 1
blow a fuse; 12
blow a kiss; 0
blow one's own horn; 0
blue-eyed boy; 4
blue-sky thinking; 0
Bob's your uncle; 0
body language; 592
bolt from the blue; 4
boots on the ground; 14
born to the purple; 7
bottomless pit; 35
break your back; 3
breathe one's last; 0
bright as a button; 0
bring a knife to a gunfight; 0
bring home the bacon; 2
bring the curtain down; 7
bring to knees; 0
bring to the table; 84
broken dreams; 63
browned off; 0
build bridges; 42
burn candles at both ends; 0
burn one's fingers; 0
burn the midnight oil; 3
bury the hatchet; 10
butter up; 2
button (up) one's lip; -2
by the grace of God; 77
by the name of; 757
by the numbers; 118
dream on; 82
by the skin of one's teeth; 0
call a spade a spade; 40
call in sick; 5
call it a day; 49
call off the dogs; 0
call on the carpet; 0
call someone names; 0
call the shots; 16
call the tune; 2
calm before the storm; 35
cannot stomach someone or something; 0
Captain Obvious; 7
carrot and stick; 13
carry a tune; 44
carry the ball; 5
case in point; 326
case-by-case; 52
cash cow; 72
castles in the air; 9
cat burglar; 22
catch someone's eye; 1
caught in a time warp; 3
caught in the crossfire; 36
chalk something up to inexperience; 0
charity begins at home; 6
charmed life; 65
chase rainbows; 0
chew the cud; 1
chew the fat; 3
chicken out; 7
chicken-hearted; 1
chin music; 5
clean as a whistle; 2
click with someone or something; 0
clock on; 60
clock out; 9
close to home; 481
Clothes make the man; 1
cloud nine; 28
cock-and-bull story; 0
cog in the machine; 7
coining money; 0
cold day in hell; 1
cold piece of work; 0
come clean; 88
come down on somebody like a ton of bricks; 0
come from behind; 15
come hell or high water; 9
come into bloom; 0
come into money; 7
come of age; 175
come out of the closet; 80
come out of the woodwork; 15
come rain or shine; 0
come to a head; 118
come to blows; 10
come to fruition; 140
come to terms with; 1133
come to your attention; 0
come true; 1580
come under fire; 22
common as an old shoe; 0
company man; 102
con artist; 400
cool as a cucumber; 7
coon's age; 1
cost a bomb; 0
cost an arm and a leg; 19
couch potato; 181
count one's chickens before they hatch; 0
cream of the crop; 191
crime doesn't pay; 8
cross swords; 4
crux of the matter; 29
cry wolf; 16
cupboard love; 0
curiosity killed the cat; 4
curl your lip; 0
cut a rug; 1
cut one's throat; 0
cut your losses; 14
dad fetch my buttons; 0
dance on someone's grave; 0
dance with death; 14
fall off the back of a lorry; 0
dark horse; 61
darken someone's door; 0
daydream about someone or something; 0
dead and buried; 30
dead duck; 6
dead loss; 2
dead meat; 17
dead right; 56
dead serious; 123
dead to the world; 5
dead wood; 23
desert a sinking ship; 0
devil finds work for idle hands to do; 0
devil of a time; 12
devil-may-care; 56
dice with death; 0
dime a dozen; 118
dip your toe in the water; 2
dirty work; 207
do a number on; 10
do the dirty work; 22
do the trick; 298
dog's age; 1
dog's life; 48
dog-eat-dog; 74
dogs are barking; 1
dollars to donuts; 8
don't get me wrong; 810
done to death; 112
doormat; 186
double-edged sword; 38
drag one's feet; 0
drama queen; 48
drastic times call for drastic measures; 0
draw fire; 5
draw in one's horns; 0
draw the curtain on; 4
draw the shortest straw; 0
dream come true; 415
get out of a jam; 7
dream ticket; 0
dressed up to the nines; 0
drink like a fish; 0
drive a hard bargain; 0
drive someone up the wall; 0
drop a bombshell; 0
drop a dime; 11
drop in the bucket; 35
drop the subject; 2
easy come, easy go; 0
easy on the ear; 92
easy on the eye; 297
eat humble pie; 11
eat like a horse; 1
eat your heart out; 74
every cloud has a silver lining; 0
every dog has its day; 2
every man has his price; 0
every man jack; 0
every minute; 1290
every Tom, Dick and Harry; 0
every trick in the book; 27
everybody and his cousin; 0
everything but the kitchen sink; 41
expectant mother; 73
experience is the mother of wisdom; 0
eye candy; 471
