id;is_answered_correctly;version
1;t;1
2;t;1
3;t;1
4;t;1
5;t;1
6;t;1
7;t;1
8;t;1
9;t;1
10;t;1
11;t;1
12;t;1
13;t;1
14;t;1
15;t;1
16;f;1
17;t;1
18;t;1
19;t;1
20;t;1
21;t;1
22;t;1
23;f;1
24;t;1
25;f;1
26;t;1
27;t;1
28;t;1
29;t;1
30;t;1
31;t;1
32;t;1
33;t;1
34;t;1
35;t;1
36;t;1
37;t;1
38;t;1
39;t;1
40;t;1
41;f;1
42;t;1
43;f;1
44;t;1
45;t;1
46;f;1
47;f;1
48;f;1
49;t;1
50;t;1
51;t;1
52;t;1
53;t;1
54;t;1
55;t;1
56;f;1
57;t;1
103;t;2
104;t;2
105;t;2
106;t;2
107;f;2
108;f;2
109;t;2
110;t;2
111;f;2
112;t;2
113;t;2
114;t;2
115;t;2
116;t;2
117;t;2
118;t;2
119;t;2
120;t;2
121;f;2
122;t;2
123;t;2
124;t;2
125;t;2
126;f;2
127;t;2
128;t;2
129;t;2
130;t;2
131;t;2
132;f;2
133;t;2
134;f;2
135;t;2
136;t;2
137;t;2
138;f;2
139;t;2
140;t;2
141;f;2
142;f;2
143;t;2
144;t;2
145;t;2
146;t;2
148;t;2
149;t;2
151;t;2
153;t;2
155;t;2
157;f;2
220;t;2
214;t;1
261;f;1
262;f;1
266;f;1
267;t;1
269;t;1
271;t;1
272;f;1
274;t;1
275;f;1
276;f;1
278;f;1
280;t;1
292;t;2
297;t;2
298;t;2
299;t;2
300;t;2
301;t;2
302;f;2
303;f;2
304;t;2
305;f;2
306;t;2
307;t;2
308;t;2
309;t;2
311;t;2
312;t;2
315;t;2
316;t;2
318;t;2
320;t;2
321;t;2
323;t;2
367;t;1
368;t;1
369;t;1
371;t;1
372;t;1
373;f;1
376;t;1
377;t;1
378;t;1
382;f;1
383;t;1
385;t;2
386;t;2
389;t;2
365;t;1
366;t;1
370;t;1
374;f;1
375;t;1
379;t;1
380;f;1
381;t;1
384;t;1
387;t;2
388;t;2
391;t;2
393;t;2
395;t;2
397;t;2
400;t;2
401;t;2
402;t;2
404;t;2
406;t;2
407;t;2
410;t;2
412;t;2
413;t;2
415;t;2
416;t;2
417;t;2
418;t;2
419;t;2
420;t;2
421;f;2
422;t;1
423;f;1
424;f;2
425;t;1
426;t;1
427;t;2
429;t;1
431;t;2
432;f;1
435;t;2
436;t;1
439;t;2
440;t;1
441;t;2
442;t;1
443;t;1
446;f;1
447;t;2
449;t;1
450;f;1
451;t;2
452;t;1
453;t;1
454;f;2
455;t;1
456;t;1
457;t;1
458;f;2
459;t;2
460;t;1
461;t;1
462;t;2
465;t;2
466;f;1
467;f;1
470;f;1
471;t;1
473;t;1
477;t;1
478;t;1
479;f;1
480;t;1
483;t;1
484;t;1
486;t;1
488;f;1
492;t;1
497;t;1
501;t;1
506;t;1
508;t;1
510;t;1
543;t;2
549;t;2
550;t;2
551;t;2
552;t;1
554;t;1
557;t;1
559;t;1
561;t;1
564;t;2
565;t;1
567;t;2
571;f;2
572;t;1
574;t;2
542;t;1
544;t;1
545;t;1
546;f;1
547;t;1
548;t;1
553;t;2
555;f;2
556;t;1
558;t;2
560;t;2
562;t;1
566;t;1
568;f;1
569;t;2
570;t;1
573;t;2
575;t;2
576;t;2
614;t;1
621;t;1
623;t;1
626;t;1
628;t;1
635;f;2
636;t;2
643;t;2
647;t;2
650;t;2
658;t;2
660;t;2
665;f;2
669;t;2
672;t;2
673;t;2
677;t;2
680;t;2
684;t;2
686;t;2
689;t;2
691;t;2
693;t;2
695;f;2
697;t;2
698;t;2
699;t;2
700;t;2
701;t;2
702;t;2
703;t;2
704;t;2
705;t;2
706;t;2
707;t;2
708;f;2
716;t;2
719;t;2
722;t;2
729;t;2
732;t;2
734;t;2
736;t;2
738;t;2
739;t;2
740;t;2
742;t;2
745;t;2
750;t;2
781;f;2
783;t;2
784;f;2
789;f;2
792;t;2
796;t;2
799;f;1
802;t;2
806;t;2
810;t;2
811;t;2
813;t;2
816;t;2
820;f;2
822;t;2
826;t;2
827;t;1
828;t;2
832;f;1
833;t;2
725;t;2
728;f;2
741;t;2
743;t;2
744;t;2
746;t;2
747;t;2
748;t;2
749;t;2
782;f;2
786;f;2
788;t;2
793;t;2
795;t;2
797;t;2
798;t;2
800;t;1
814;t;2
817;t;2
823;t;1
825;t;2
829;t;2
831;t;2
835;t;1
836;t;2
838;t;2
839;t;2
841;t;2
842;t;1
844;t;2
845;f;1
846;t;2
847;f;1
848;t;2
849;t;2
851;f;1
852;t;1
853;t;2
854;t;2
856;f;1
857;t;1
858;t;2
859;t;2
861;t;1
862;t;2
864;t;1
865;t;2
866;t;1
868;t;1
869;t;2
870;t;1
873;f;2
874;t;1
875;f;2
877;t;1
878;t;2
880;t;1
881;t;2
882;t;1
884;t;2
886;t;2
887;t;1
888;t;1
890;t;2
891;f;2
894;t;1
896;t;2
897;t;2
900;t;1
901;t;2
903;t;2
904;t;2
905;f;1
909;t;2
910;t;2
911;t;1
913;f;2
915;t;1
916;f;2
917;t;1
918;t;2
919;t;1
920;f;2
923;f;2
924;t;2
926;f;1
927;f;2
928;t;1
930;t;2
931;t;2
932;t;1
933;t;2
935;t;2
937;f;1
938;t;2
939;t;1
940;t;2
942;f;1
944;t;1
949;f;1
951;t;1
954;t;1
955;t;1
956;f;2
960;f;2
961;t;1
968;t;1
971;t;1
975;f;1
936;f;2
943;t;2
946;t;1
952;t;2
958;t;2
962;t;1
963;t;2
964;t;1
965;t;2
966;t;1
967;t;2
970;t;1
973;f;1
974;t;1
976;t;1
977;t;1
978;f;1
979;t;1
980;t;1
981;t;1
982;t;1
983;t;1
984;f;1
985;t;1
986;f;1
987;t;1
988;t;1
989;t;1
990;t;1
991;f;1
992;f;1
993;t;1
994;t;1
995;t;1
996;t;1
997;t;1
998;t;1
999;t;1
1000;t;1
1001;f;1
1002;t;1
1003;f;1
1004;t;1
1005;t;1
1006;t;1
1007;f;1
1008;t;1
1009;t;1
1020;t;1
1023;f;1
1026;f;1
1032;f;1
1033;f;1
1034;f;1
1035;t;1
1036;t;1
1037;t;1
1038;f;1
1039;t;1
1040;t;1
1041;f;1
1043;f;1
1044;t;1
1046;t;1
1047;t;1
1048;t;2
1049;f;1
1050;t;2
1052;t;1
1053;t;2
1054;t;2
1055;t;2
1056;f;2
1058;t;2
1059;t;2
1061;t;2
1113;t;1
1114;t;1
1117;t;2
1118;f;2
1119;f;2
1120;t;2
1121;t;2
1122;f;2
1123;t;2
1124;t;2
1125;f;2
1126;t;2
1127;f;2
1128;f;2
1129;f;2
1130;t;2
1131;f;2
1132;f;2
1155;t;1
1156;t;1
1157;t;2
1158;t;2
1159;f;2
1160;t;2
1161;t;2
1162;t;2
1163;t;2
1164;t;2
1165;t;2
1166;t;2
1167;t;2
1168;t;2
1169;t;2
1170;t;2
1177;f;1
1178;t;1
1179;t;1
1181;t;1
1183;f;1
1185;f;1
1186;f;1
1188;t;1
1189;f;1
1190;t;1
1191;f;1
1196;t;1
1198;f;1
1199;t;1
1200;t;1
1201;t;1
1202;t;1
1203;t;1
1204;f;1
1205;t;1
1206;t;1
1207;t;1
1208;t;1
1209;t;1
1210;t;1
1211;t;1
1212;t;1
1213;t;1
1214;t;1
1215;t;1
1216;t;1
1217;t;1
1218;f;1
1219;t;1
1220;t;1
1221;t;1
1222;t;1
1223;t;1
1224;t;1
1225;t;1
1226;t;1
1227;t;1
1228;t;1
1229;t;1
1230;t;1
1231;t;1
1232;f;1
1233;t;1
1234;t;1
1235;t;1
1236;t;1
1237;f;2
1238;t;1
1239;t;1
1240;t;1
1241;t;1
1242;t;1
1243;f;1
1244;t;1
1245;t;1
1246;t;1
1247;t;1
1248;t;1
1249;t;1
1250;t;1
1251;t;1
1252;t;1
1253;t;1
1254;t;1
1255;t;1
1256;t;1
1257;t;1
1258;t;1
1259;t;1
1260;t;1
1261;t;1
1262;t;1
1263;t;1
1264;t;1
1265;t;1
1266;t;1
1267;t;1
1268;t;1
1269;t;1
1270;t;1
1273;t;1
1274;t;1
1275;t;1
1277;f;1
1278;t;1
1281;t;1
1282;t;1
1284;t;1
1285;t;1
1287;t;1
1271;t;1
1272;t;1
1276;t;1
1279;t;1
1280;t;1
1283;t;1
1286;t;1
1288;f;1
1289;t;1
1290;f;1
1291;t;1
1292;f;1
1293;t;1
1294;t;1
1295;t;1
1296;t;1
1297;t;1
1298;t;1
1299;t;1
1300;t;2
1311;f;1
1312;t;1
1313;t;1
1314;t;1
1315;t;1
1316;t;1
1317;t;1
1318;t;1
1319;t;1
1320;t;1
1321;t;1
1322;t;1
1323;t;1
1326;f;2
1360;t;1
1369;t;1
1377;f;1
1378;t;1
1381;t;1
1383;t;1
1386;t;1
1387;t;1
1390;t;1
1393;t;1
1398;t;1
1403;f;1
1405;t;2
1406;t;1
1408;f;1
1410;f;1
1412;f;1
1431;t;1
1432;f;1
1433;f;1
1434;t;1
1444;t;2
1449;t;1
1451;t;2
1457;t;2
1458;t;1
1459;t;2
1465;t;1
1466;t;1
1468;t;1
1471;t;1
1447;t;2
1450;t;2
1452;t;1
1455;t;2
1461;t;1
1462;t;2
1464;t;2
1467;t;2
1470;t;2
1473;t;1
1474;t;1
1476;f;2
1478;f;2
1479;t;2
1480;t;2
1481;t;2
1482;t;2
1483;t;2
1484;t;2
1485;t;2
1486;t;2
1522;t;1
1523;t;1
1524;t;1
1525;t;1
1526;t;1
1527;t;1
1528;t;1
1529;f;1
1530;t;1
1531;f;1
1532;t;1
1533;t;1
1534;t;1
1535;t;1
1536;t;1
1537;t;1
1538;t;1
1539;t;2
1540;t;1
1542;t;1
1543;t;1
1544;t;1
1546;t;1
1549;f;1
1550;t;1
1553;t;1
1557;t;1
1558;t;1
1561;t;1
1563;f;1
1564;t;1
1569;f;1
1570;t;1
1597;t;1
1598;t;1
1601;t;1
1602;t;1
1603;t;1
1604;f;2
1605;t;2
1606;f;2
1607;t;2
1608;t;2
1609;t;2
1610;t;2
1611;t;2
1612;t;2
1613;t;2
1614;t;2
1615;t;2
1617;t;2
1618;t;2
1621;t;2
1623;f;2
1654;t;1
1659;t;1
1660;t;1
1661;t;1
1663;t;1
1671;t;1
1672;t;1
1616;f;2
1619;t;2
1620;t;2
1622;t;2
1653;t;1
1655;f;1
1656;t;1
1657;t;1
1658;t;1
1662;t;1
1664;t;1
1665;t;1
1666;t;1
1667;t;1
1668;t;1
1669;t;1
1670;t;1
1673;t;1
1674;t;1
1675;t;1
1676;t;1
1677;t;1
1678;t;1
1679;t;1
1680;t;1
1681;t;1
1682;t;1
1683;t;1
1684;f;1
1685;t;1
1686;t;1
1687;t;1
1688;t;1
1689;t;1
1690;t;1
1691;t;1
1692;t;1
1693;t;1
1694;t;1
1695;t;1
1696;t;1
1697;t;1
1698;t;1
1705;t;1
1706;f;2
1707;t;2
1708;t;2
1709;t;2
1710;t;2
1711;f;2
1712;t;2
1713;t;2
1714;f;2
1715;t;2
1716;t;2
1717;t;2
1718;t;2
1719;f;2
1720;t;2
1721;t;2
1722;f;2
1723;t;2
1724;t;2
1725;t;2
1726;f;2
1727;t;2
1728;f;2
1729;t;2
1730;t;2
