id;is_answered_correctly;version;user_id
1;t;1;1
2;t;1;1
3;t;1;1
4;t;1;1
5;t;1;1
6;t;1;1
7;t;1;1
8;t;1;1
9;t;1;1
10;t;1;1
11;t;1;2
12;t;1;2
13;t;1;2
14;t;1;2
15;t;1;2
16;f;1;2
17;t;1;2
18;t;1;2
19;t;1;2
20;t;1;2
21;t;1;2
22;t;1;4
23;f;1;4
24;t;1;4
25;f;1;4
26;t;1;5
27;t;1;4
28;t;1;4
29;t;1;4
30;t;1;4
31;t;1;4
32;t;1;4
33;t;1;4
34;t;1;4
35;t;1;4
36;t;1;6
37;t;1;4
38;t;1;4
39;t;1;4
40;t;1;6
41;f;1;4
42;t;1;4
43;f;1;4
44;t;1;7
45;t;1;7
46;f;1;7
47;f;1;7
48;f;1;7
49;t;1;7
50;t;1;7
51;t;1;7
52;t;1;7
53;t;1;7
54;t;1;7
55;t;1;7
56;f;1;10
57;t;1;10
58;t;3;11
59;t;3;12
60;f;3;11
61;f;3;11
62;t;3;11
63;f;3;14
64;t;3;14
65;t;3;14
66;t;3;14
67;t;3;14
68;f;3;14
69;f;3;17
70;t;3;17
71;f;3;17
72;t;3;17
73;t;3;17
74;t;3;17
75;t;3;17
76;t;3;17
77;t;3;17
78;f;3;17
79;t;3;17
80;t;3;17
81;t;3;17
82;t;3;17
83;f;3;17
84;f;3;18
85;t;3;18
86;f;3;18
87;t;3;18
88;f;3;18
89;t;3;18
90;t;3;18
91;t;3;18
92;t;3;18
93;t;3;18
94;f;3;18
95;t;3;18
96;f;3;18
97;t;3;18
98;f;3;18
99;t;3;18
100;t;3;18
101;f;3;18
102;t;3;20
214;t;1;41
238;t;3;43
248;t;3;43
251;t;3;43
254;t;3;43
255;t;3;43
256;t;3;43
257;f;3;43
258;t;3;43
259;f;3;43
260;t;3;43
261;f;1;45
262;f;1;45
263;t;3;43
265;t;3;43
266;f;1;45
267;t;1;45
269;t;1;45
271;t;1;45
272;f;1;45
274;t;1;45
275;f;1;45
276;f;1;45
278;f;1;45
280;t;1;45
310;t;3;47
313;t;3;47
314;f;3;47
317;f;3;47
319;f;3;47
322;t;3;47
