id;is_answered_correctly;version
58;t;3
59;t;3
60;f;3
61;f;3
62;t;3
63;f;3
64;t;3
65;t;3
66;t;3
67;t;3
68;f;3
69;f;3
70;t;3
71;f;3
72;t;3
73;t;3
74;t;3
75;t;3
76;t;3
77;t;3
78;f;3
79;t;3
80;t;3
81;t;3
82;t;3
83;f;3
84;f;3
85;t;3
86;f;3
87;t;3
88;f;3
89;t;3
90;t;3
91;t;3
92;t;3
93;t;3
94;f;3
95;t;3
96;f;3
97;t;3
98;f;3
99;t;3
100;t;3
101;f;3
102;t;3
147;t;4
150;t;4
152;t;4
154;t;4
156;t;4
158;t;4
160;f;4
161;t;4
165;f;4
171;t;4
172;t;4
175;t;4
176;t;4
177;t;4
180;t;4
183;t;4
185;f;4
186;f;4
187;f;4
188;f;4
190;t;4
191;f;4
194;t;4
196;f;4
198;t;4
199;t;4
201;f;4
203;t;4
204;t;4
207;f;4
208;f;4
210;t;4
216;f;4
217;f;4
218;f;4
221;t;4
226;t;4
227;f;4
228;t;4
229;t;4
159;t;4
162;t;4
163;f;4
164;t;4
166;f;4
167;t;4
168;f;4
169;t;4
170;t;4
173;t;4
174;t;4
178;t;4
179;t;4
181;t;4
182;f;4
184;t;4
189;t;4
192;t;4
193;f;4
195;t;4
197;t;4
200;t;4
202;f;4
205;t;4
206;t;4
209;f;4
211;t;4
212;t;4
213;t;4
215;t;4
219;t;4
222;f;4
223;t;4
224;f;4
225;t;4
230;t;4
231;t;4
232;t;4
233;t;4
234;t;4
235;f;4
236;t;4
237;t;4
238;t;3
239;f;4
240;t;4
241;t;4
242;t;4
243;t;4
244;t;4
245;t;4
246;f;4
247;t;4
248;t;3
249;t;4
250;f;4
251;t;3
252;t;4
253;f;4
254;t;3
255;t;3
256;t;3
257;f;3
258;t;3
259;f;3
260;t;3
263;t;3
264;t;4
265;t;3
268;t;4
270;f;4
273;t;4
277;t;4
279;t;4
281;f;4
282;t;4
283;t;4
284;t;4
285;f;4
286;t;4
287;t;4
288;t;4
289;t;4
290;f;4
291;t;4
293;t;4
294;t;4
295;t;4
296;t;4
310;t;3
313;t;3
314;f;3
317;f;3
319;f;3
322;t;3
324;t;3
325;f;3
326;t;3
327;t;4
328;t;4
329;t;4
330;t;4
331;t;4
332;t;3
333;t;3
334;f;4
335;f;4
336;t;4
337;t;4
338;f;3
339;f;4
340;t;3
341;t;4
342;t;4
343;t;4
344;t;3
345;f;4
346;f;3
347;f;4
348;t;3
349;f;4
350;f;3
351;f;4
354;t;4
357;t;4
358;t;4
363;f;3
352;f;4
353;f;4
355;t;4
356;f;4
359;t;4
360;f;4
361;f;3
362;f;3
364;t;3
390;t;3
392;t;3
394;t;3
396;t;3
398;t;3
399;t;3
403;t;3
405;t;3
408;f;3
409;t;3
411;t;3
414;f;3
428;t;4
430;t;4
433;f;4
434;t;3
437;f;4
438;t;4
444;f;4
445;t;4
448;f;4
463;f;4
464;t;3
468;t;4
469;t;3
472;f;4
474;t;4
475;f;3
476;t;4
481;f;3
482;f;4
485;t;4
487;t;3
489;t;4
490;t;3
491;t;3
493;t;4
494;f;3
495;t;4
496;t;3
498;t;3
499;t;4
500;t;3
502;t;4
503;t;3
504;t;4
505;t;3
507;t;3
