id;is_answered_correctly;version;user_id
103;t;2;21
104;t;2;21
105;t;2;21
106;t;2;21
107;f;2;21
108;f;2;21
109;t;2;21
110;t;2;22
111;f;2;22
112;t;2;21
113;t;2;22
114;t;2;22
115;t;2;22
116;t;2;21
117;t;2;22
118;t;2;22
119;t;2;21
120;t;2;22
121;f;2;22
122;t;2;22
123;t;2;22
124;t;2;22
125;t;2;22
126;f;2;22
127;t;2;22
128;t;2;22
129;t;2;22
130;t;2;22
131;t;2;22
132;f;2;22
133;t;2;22
134;f;2;22
135;t;2;22
136;t;2;22
137;t;2;22
138;f;2;22
139;t;2;22
140;t;2;22
141;f;2;25
142;f;2;29
143;t;2;29
144;t;2;29
145;t;2;29
146;t;2;29
147;t;4;31
148;t;2;29
149;t;2;29
150;t;4;32
151;t;2;29
152;t;4;32
153;t;2;29
154;t;4;32
155;t;2;29
156;t;4;32
157;f;2;29
158;t;4;32
160;f;4;32
161;t;4;32
165;f;4;33
171;t;4;32
172;t;4;32
175;t;4;32
176;t;4;32
177;t;4;33
180;t;4;33
183;t;4;33
185;f;4;33
186;f;4;33
187;f;4;35
188;f;4;35
190;t;4;35
191;f;4;35
194;t;4;35
196;f;4;36
198;t;4;35
199;t;4;39
201;f;4;35
203;t;4;39
204;t;4;35
207;f;4;36
208;f;4;39
210;t;4;36
216;f;4;35
217;f;4;39
218;f;4;35
220;t;2;42
221;t;4;39
226;t;4;35
227;f;4;36
228;t;4;35
229;t;4;36
159;t;4;32
162;t;4;32
163;f;4;32
164;t;4;32
166;f;4;32
167;t;4;33
168;f;4;32
169;t;4;32
170;t;4;33
173;t;4;32
174;t;4;32
178;t;4;33
179;t;4;33
181;t;4;33
182;f;4;33
184;t;4;33
189;t;4;35
192;t;4;36
193;f;4;35
195;t;4;38
197;t;4;35
200;t;4;39
202;f;4;39
205;t;4;39
206;t;4;39
209;f;4;35
211;t;4;39
212;t;4;40
213;t;4;35
215;t;4;36
219;t;4;39
222;f;4;35
223;t;4;39
224;f;4;39
225;t;4;39
230;t;4;35
231;t;4;35
232;t;4;35
233;t;4;36
234;t;4;35
235;f;4;36
236;t;4;35
237;t;4;35
239;f;4;35
240;t;4;35
241;t;4;35
242;t;4;36
243;t;4;35
244;t;4;35
245;t;4;36
246;f;4;35
247;t;4;35
249;t;4;36
250;f;4;36
252;t;4;36
253;f;4;36
264;t;4;44
268;t;4;44
270;f;4;44
273;t;4;44
277;t;4;44
279;t;4;44
281;f;4;44
282;t;4;44
283;t;4;44
284;t;4;44
285;f;4;44
286;t;4;44
287;t;4;44
288;t;4;44
289;t;4;44
290;f;4;44
291;t;4;44
292;t;2;46
293;t;4;44
294;t;4;44
295;t;4;44
296;t;4;44
297;t;2;46
298;t;2;46
299;t;2;46
300;t;2;46
301;t;2;46
302;f;2;46
303;f;2;46
304;t;2;46
305;f;2;46
306;t;2;46
307;t;2;46
308;t;2;46
309;t;2;46
311;t;2;46
312;t;2;46
315;t;2;46
316;t;2;46
318;t;2;46
320;t;2;46
321;t;2;46
323;t;2;46
327;t;4;48
328;t;4;48
329;t;4;48
330;t;4;48
331;t;4;48
334;f;4;48
335;f;4;48
336;t;4;48
337;t;4;48
339;f;4;48
341;t;4;48
342;t;4;48
343;t;4;48
345;f;4;48
347;f;4;48
349;f;4;48
351;f;4;48
354;t;4;48
357;t;4;48
358;t;4;48
385;t;2;50
386;t;2;50
389;t;2;50
352;f;4;48
353;f;4;48
355;t;4;48
356;f;4;48
359;t;4;48
360;f;4;48
387;t;2;50
388;t;2;50
391;t;2;50
393;t;2;50
395;t;2;50
397;t;2;50
400;t;2;50
