id;is_answered_correctly;version
1;t;1
2;t;1
3;t;1
4;t;1
5;t;1
6;t;1
7;t;1
8;t;1
9;t;1
10;t;1
11;t;1
12;t;1
13;t;1
14;t;1
15;t;1
16;f;1
17;t;1
18;t;1
19;t;1
20;t;1
21;t;1
22;t;1
23;f;1
24;t;1
25;f;1
26;t;1
27;t;1
28;t;1
29;t;1
30;t;1
31;t;1
32;t;1
33;t;1
34;t;1
35;t;1
36;t;1
37;t;1
38;t;1
39;t;1
40;t;1
41;f;1
42;t;1
43;f;1
44;t;1
45;t;1
46;f;1
47;f;1
48;f;1
49;t;1
50;t;1
51;t;1
52;t;1
53;t;1
54;t;1
55;t;1
56;f;1
57;t;1
58;t;3
59;t;3
60;f;3
61;f;3
62;t;3
63;f;3
64;t;3
65;t;3
66;t;3
67;t;3
68;f;3
69;f;3
70;t;3
71;f;3
72;t;3
73;t;3
74;t;3
75;t;3
76;t;3
77;t;3
78;f;3
79;t;3
80;t;3
81;t;3
82;t;3
83;f;3
84;f;3
85;t;3
86;f;3
87;t;3
88;f;3
89;t;3
90;t;3
91;t;3
92;t;3
93;t;3
94;f;3
95;t;3
96;f;3
97;t;3
98;f;3
99;t;3
100;t;3
101;f;3
102;t;3
103;t;2
104;t;2
105;t;2
106;t;2
107;f;2
108;f;2
109;t;2
110;t;2
111;f;2
112;t;2
113;t;2
114;t;2
115;t;2
116;t;2
117;t;2
118;t;2
119;t;2
120;t;2
121;f;2
122;t;2
123;t;2
124;t;2
125;t;2
126;f;2
127;t;2
128;t;2
129;t;2
130;t;2
131;t;2
132;f;2
133;t;2
134;f;2
135;t;2
136;t;2
137;t;2
138;f;2
139;t;2
140;t;2
141;f;2
142;f;2
143;t;2
144;t;2
145;t;2
146;t;2
147;t;4
148;t;2
149;t;2
150;t;4
151;t;2
152;t;4
153;t;2
154;t;4
155;t;2
156;t;4
157;f;2
158;t;4
160;f;4
161;t;4
165;f;4
171;t;4
172;t;4
175;t;4
176;t;4
177;t;4
180;t;4
183;t;4
185;f;4
186;f;4
187;f;4
188;f;4
190;t;4
191;f;4
194;t;4
196;f;4
198;t;4
199;t;4
201;f;4
203;t;4
204;t;4
207;f;4
208;f;4
210;t;4
216;f;4
217;f;4
218;f;4
220;t;2
221;t;4
226;t;4
227;f;4
228;t;4
229;t;4
159;t;4
162;t;4
163;f;4
164;t;4
166;f;4
167;t;4
168;f;4
169;t;4
170;t;4
173;t;4
174;t;4
178;t;4
179;t;4
181;t;4
182;f;4
184;t;4
189;t;4
192;t;4
193;f;4
195;t;4
197;t;4
200;t;4
202;f;4
205;t;4
206;t;4
209;f;4
211;t;4
212;t;4
213;t;4
214;t;1
215;t;4
219;t;4
222;f;4
223;t;4
224;f;4
225;t;4
230;t;4
231;t;4
232;t;4
233;t;4
234;t;4
235;f;4
236;t;4
237;t;4
238;t;3
239;f;4
240;t;4
241;t;4
242;t;4
243;t;4
244;t;4
245;t;4
246;f;4
247;t;4
248;t;3
249;t;4
250;f;4
251;t;3
252;t;4
253;f;4
254;t;3
255;t;3
256;t;3
257;f;3
258;t;3
259;f;3
260;t;3
261;f;1
262;f;1
263;t;3
264;t;4
265;t;3
266;f;1
267;t;1
268;t;4
269;t;1
270;f;4
271;t;1
272;f;1
273;t;4
274;t;1
275;f;1
276;f;1
277;t;4
278;f;1
279;t;4
280;t;1
281;f;4
282;t;4
283;t;4
284;t;4
285;f;4
286;t;4
287;t;4
288;t;4
289;t;4
290;f;4
291;t;4
292;t;2
293;t;4
294;t;4
295;t;4
296;t;4
297;t;2
298;t;2
299;t;2
300;t;2
301;t;2
302;f;2
303;f;2
304;t;2
305;f;2
306;t;2
307;t;2
308;t;2
309;t;2
310;t;3
311;t;2
312;t;2
313;t;3
314;f;3
315;t;2
316;t;2
317;f;3
318;t;2
319;f;3
320;t;2
321;t;2
322;t;3
323;t;2
324;t;3
325;f;3
326;t;3
327;t;4
328;t;4
329;t;4
330;t;4
331;t;4
332;t;3
333;t;3
334;f;4
335;f;4
336;t;4
337;t;4
338;f;3
339;f;4
340;t;3
341;t;4
342;t;4
343;t;4
344;t;3
345;f;4
346;f;3
347;f;4
348;t;3
349;f;4
350;f;3
351;f;4
354;t;4
357;t;4
358;t;4
363;f;3
367;t;1
368;t;1
369;t;1
371;t;1
372;t;1
373;f;1
376;t;1
377;t;1
378;t;1
382;f;1
383;t;1
385;t;2
386;t;2
389;t;2
352;f;4
353;f;4
355;t;4
356;f;4
359;t;4
360;f;4
361;f;3
362;f;3
364;t;3
365;t;1
366;t;1
370;t;1
374;f;1
375;t;1
379;t;1
380;f;1
381;t;1
384;t;1
387;t;2
388;t;2
390;t;3
391;t;2
392;t;3
393;t;2
394;t;3
395;t;2
396;t;3
397;t;2
398;t;3
399;t;3
400;t;2
401;t;2
402;t;2
403;t;3
404;t;2
405;t;3
406;t;2
407;t;2
408;f;3
409;t;3
410;t;2
411;t;3
412;t;2
413;t;2
414;f;3
415;t;2
416;t;2
417;t;2
418;t;2
419;t;2
420;t;2
421;f;2
422;t;1
423;f;1
424;f;2
425;t;1
426;t;1
427;t;2
428;t;4
429;t;1
430;t;4
431;t;2
432;f;1
433;f;4
434;t;3
435;t;2
436;t;1
437;f;4
438;t;4
439;t;2
440;t;1
441;t;2
442;t;1
443;t;1
444;f;4
445;t;4
446;f;1
447;t;2
448;f;4
449;t;1
450;f;1
451;t;2
452;t;1
453;t;1
454;f;2
455;t;1
456;t;1
457;t;1
458;f;2
459;t;2
460;t;1
461;t;1
462;t;2
463;f;4
464;t;3
465;t;2
466;f;1
467;f;1
468;t;4
469;t;3
470;f;1
471;t;1
472;f;4
473;t;1
474;t;4
475;f;3
476;t;4
477;t;1
478;t;1
479;f;1
480;t;1
481;f;3
482;f;4
483;t;1
484;t;1
485;t;4
486;t;1
487;t;3
488;f;1
489;t;4
490;t;3
491;t;3
492;t;1
493;t;4
494;f;3
495;t;4
496;t;3
497;t;1
498;t;3
499;t;4
500;t;3
501;t;1
502;t;4
503;t;3
504;t;4
505;t;3
506;t;1
507;t;3
508;t;1
509;t;4
510;t;1
511;t;4
512;t;3
513;f;4
514;f;3
515;f;3
516;t;3
517;t;4
518;t;3
519;f;4
520;f;3
521;t;4
522;t;4
523;t;3
524;t;4
525;t;4
526;t;4
527;t;4
529;t;4
531;t;4
532;t;4
533;t;4
534;f;4
536;t;4
538;t;4
539;t;4
541;f;4
543;t;2
549;t;2
550;t;2
551;t;2
552;t;1
554;t;1
557;t;1
559;t;1
561;t;1
564;t;2
565;t;1
567;t;2
571;f;2
572;t;1
574;t;2
578;f;3
579;f;3
582;t;3
584;f;3
586;t;3
589;t;4
591;t;4
592;t;4
593;t;4
594;t;4
595;f;4
596;t;4
597;f;4
528;t;3
530;f;4
535;f;4
537;t;3
540;t;4
542;t;1
544;t;1
545;t;1
546;f;1
547;t;1
548;t;1
553;t;2
555;f;2
556;t;1
558;t;2
560;t;2
562;t;1
563;t;3
566;t;1
568;f;1
569;t;2
570;t;1
573;t;2
575;t;2
576;t;2
577;f;3
580;f;3
581;f;3
583;t;3
585;t;3
587;f;3
588;t;4
590;f;4
598;t;4
599;t;4
600;t;4
601;f;4
602;f;4
603;t;4
604;t;4
605;t;4
606;t;4
607;t;4
608;t;4
609;t;4
610;t;4
611;f;4
612;f;4
613;t;4
614;t;1
615;t;3
616;f;4
617;t;3
618;t;4
619;t;3
620;t;4
621;t;1
622;t;4
623;t;1
624;f;4
625;t;4
626;t;1
627;t;4
628;t;1
629;t;4
630;f;4
631;t;4
632;f;3
633;t;4
634;t;3
635;f;2
636;t;2
637;t;3
638;t;4
639;t;4
640;f;3
641;f;3
642;t;4
643;t;2
644;t;3
645;t;4
646;t;3
647;t;2
648;t;4
649;t;3
650;t;2
651;t;3
652;f;4
653;t;3
654;t;4
655;f;4
656;f;4
657;t;4
658;t;2
659;f;3
660;t;2
661;f;3
662;t;4
663;t;3
664;t;4
665;f;2
666;t;4
667;t;4
668;f;3
669;t;2
670;t;4
671;f;3
672;t;2
673;t;2
674;f;4
675;t;3
676;t;4
677;t;2
678;f;4
679;f;4
680;t;2
681;f;3
682;t;4
683;t;3
684;t;2
685;f;4
686;t;2
687;f;3
688;t;3
689;t;2
690;t;3
691;t;2
692;f;3
693;t;2
694;f;3
695;f;2
696;t;3
697;t;2
698;t;2
699;t;2
700;t;2
701;t;2
702;t;2
703;t;2
704;t;2
705;t;2
706;t;2
707;t;2
708;f;2
709;t;4
710;t;4
711;t;4
712;t;4
713;f;4
714;t;4
715;t;4
716;t;2
717;t;4
718;t;4
719;t;2
720;t;4
721;t;4
722;t;2
723;t;4
729;t;2
731;t;4
732;t;2
733;t;4
734;t;2
735;t;4
736;t;2
738;t;2
739;t;2
740;t;2
742;t;2
745;t;2
750;t;2
753;t;4
754;t;4
756;t;4
759;t;4
760;f;4
762;t;4
763;t;4
765;t;4
766;t;4
767;f;4
768;t;4
777;f;4
781;f;2
783;t;2
784;f;2
785;t;3
787;t;3
789;f;2
792;t;2
796;t;2
799;f;1
801;f;3
802;t;2
805;t;4
806;t;2
807;t;3
808;f;3
810;t;2
811;t;2
813;t;2
816;t;2
819;f;3
820;f;2
821;t;3
822;t;2
826;t;2
827;t;1
828;t;2
832;f;1
833;t;2
834;t;3
724;t;4
725;t;2
726;f;4
727;f;4
728;f;2
730;f;3
737;t;4
741;t;2
743;t;2
744;t;2
746;t;2
747;t;2
748;t;2
749;t;2
751;f;3
752;f;4
755;f;4
757;f;4
758;t;4
761;t;4
764;f;4
769;f;4
770;t;4
771;f;4
772;t;4
773;t;4
774;f;4
775;t;3
776;t;4
778;t;4
779;f;4
780;f;4
782;f;2
786;f;2
788;t;2
790;t;4
791;t;3
793;t;2
794;t;4
795;t;2
797;t;2
798;t;2
800;t;1
803;t;3
804;t;3
809;t;3
812;t;3
814;t;2
815;f;3
817;t;2
818;t;3
823;t;1
824;t;4
825;t;2
829;t;2
830;f;3
831;t;2
835;t;1
836;t;2
837;t;3
838;t;2
839;t;2
840;t;3
841;t;2
842;t;1
843;t;3
844;t;2
845;f;1
846;t;2
847;f;1
848;t;2
849;t;2
850;f;3
851;f;1
852;t;1
853;t;2
854;t;2
855;f;4
856;f;1
857;t;1
858;t;2
859;t;2
860;t;3
861;t;1
862;t;2
863;t;4
864;t;1
865;t;2
866;t;1
867;t;3
868;t;1
869;t;2
870;t;1
871;t;3
872;t;3
873;f;2
874;t;1
875;f;2
876;f;3
877;t;1
878;t;2
879;t;3
880;t;1
881;t;2
882;t;1
883;t;3
884;t;2
885;t;3
886;t;2
887;t;1
888;t;1
889;t;3
890;t;2
891;f;2
892;f;3
893;t;3
894;t;1
895;t;3
896;t;2
897;t;2
898;t;3
899;t;3
900;t;1
901;t;2
902;f;3
903;t;2
904;t;2
905;f;1
906;t;3
907;t;3
908;t;3
909;t;2
910;t;2
911;t;1
912;t;4
913;f;2
914;t;3
915;t;1
916;f;2
917;t;1
918;t;2
919;t;1
920;f;2
921;f;4
922;t;3
923;f;2
924;t;2
925;t;3
926;f;1
927;f;2
928;t;1
929;f;4
930;t;2
931;t;2
932;t;1
933;t;2
934;t;3
935;t;2
937;f;1
938;t;2
